Title	Year	Summary	!	ENTERTANO-SCORE	WEIGHTED	Thomas 	Adam P	Ben D	Ben M	Hudson	Vas	Daniel ML	Mr. Lynchie	DK	Mango	Shaw	Shazbot	Manoj	Briony										
Hostel		People can pay to do anything they want	!	0.8	5.4		7								6														
Up in the air		A movie with George clooney that is surprisingly unshit	!	0.8	5.4		7				6																		
Deep Blue Sea		So bad it's good	!	0.8	5.4		6		7																				
Man on fire		Denzel version of taken	!	0.8	5.4		7									6													
Short Circuit		number 5 is alive	!	0.2	5.1		6	5		7.0																			
Space Cowboys			!	0.7	5.4		6			6.0						7													
Cube Zero			!	0.6	5.3	6.5																							
All of the Peirce bond movies		the 3rd worst bond but maybe the 2nd handsomest		0.4	5.2		7	7	0	7.0		6	5		5														
Bad Boys II	2003	"You know what it gonna be if I'm there, gonna be Chitty Chitty Bang Bang nigga" - https://www.youtube.com/watch?v=x4pIJtt48g4	!	0.0	5.0		4	5			8																		
Touching the Void		Doofus climber breaks leg... makes an epic movie	!	0.5	5.2		4									8													
Aliens vs Predator		Whoever wins, we lose	!	0.5	5.2		4	8																					
The Worlds End		Bromantic comedy set in a village during the robot alien apocolypse. Nick Frost + Simon Pegg. Least funny movie of the cornetto trilogy		0.3	5.2	5.5	4	4	7	7.0			4.5			7													
Transcendence	2014	A refreshingly different take to the whole robot uprising		0.2	5.1	5	3	8		7.0				5															
Blade II: Blade Harder		Black guy kills vampires that kill other vampires		0.1	5.0		5	6.5	6	5.0			5.5	6															
Tenacious D and The Pick of Destiny		Jack Black and Kyl Gass must steal a demon's tooth from Dave Grohl	!	0.0	5.0		6	8	4				4.5																
Accepted	2006	Because regular college just wont cut it	!	0.0	5.0				3		8																		
Aliens 4: Resurrection		Joss Whedon does Aliens	!	0.0	5.0		3	8																					
Enter the Dragon	1973	Be amazed by Bruce Lees speed	!	0.0	5.0					5.5				6.5															
I love you, man		bromance 	!	0.1	5.0	6	6																						
This is the End	2013	Seth Rogen, Jay Baruchel, James Franco, Jonah Hill, Craig Fergison play a version of themselves during the post rapture apocalypse		0.3	4.9	3	7	8.5	4		3																		
Monster's Ball		make me feel guuuud	!	0.2	4.9		6																						
Midnight in Paris		Romantic time travel movie starring Rachael McAdams	!	0.4	4.8		3	5	8																				
Cube 2: Hypercube			!	0.5	4.8	6			2	7.5																			
Paranormal Activity		jinkies	!	0.5	4.8		8			4.0	4																		
Top Gun		Beach volleyball. "I feel the need, the need for scientology!"	!	0.6	4.7		7			5.0			4.5																
Tango and Cash	1989	Muscles and guns	!	0.6	4.7		4							7															
Blade III: Trinity		Ryan Renold's audition for Deadpool. Also Jessica Biel *swoon*		0.7	4.7		3	6.5	4	4.0			5.5	5	7														
Mortal Kombat : Legacy		Free web series, actually surprisingly not terriblish	!	0.8	4.6		1	8					5																
Wolf Creek		Nothin like rain water from the top end	!	0.9	4.6		6								6	4													
Kickboxer		Van Damme, does the gayest dancing ever https://www.youtube.com/watch?v=CE8XKeN0zk4	!	0.8	4.6		5			6.0																			
Rocky			!	1.0	4.5		7		4				4.5																
The Last Starfighter			!	0.4	5.2				7	5.5																			
Demolition Man		livin that snipe life. What are the 3 shell's for?		0.4	4.8		4	7	5	4.0			5.5	5	6														
Lost in translation		Suntoro time	!	1.1	4.4		7			3.0						5													
Aliens 3		Ripley fights the aliens on a barren penal-colony planet full of rapists and murders.	!	1.1	4.4		5	3		7.0																			
The Time Traveller's Wife		Romantic time travel movie starring Rachael McAdams	!	1.5	4.3		1	9	1	4.0																			
Universal Soldier	1992	Muscles, mind control and guns	!	1.5	4.2					5.0			3	6.5															
Days of thunder		Top gun on the nascar track	!	1.6	4.2		5			5.0					5														
Aliens vs Predator II: Requiem for a Dream			!	1.6	4.2		4	6																					
Oceans Twelve		Guys still stealing stuff... only this time, they are competing with a guy who likes dancing through lasers		1.7	4.2	5	1		4	5.0	6		5.5																
Highlander 2	1991		!	1.9	4.1											5													
Troy	2004	Before there were 300		2.2	3.9		1		1		5	6	6																
"Die Hard in Russia"		Slow motion chopper makes it		2.4	3.8	6	6	5	1				2																
"Die Hard 4.0"		IT'S A FIRE SALE		2.8	3.6	4	4	5	1	5.0			4																
The Grudge		like the ring, but with some stupid noise... sounds like a creaking door that never fully opens	!	3.3	3.4		4		4		4																		
Snakes on a plane		I'm tired of these mother loving snakes on this mother loving plane	!	5.9	2.0	3.5	3		1	0.5																			
Alexander		give me my fucking 3 hours of life back	!	6.3	1.9		1						3																
Stop or my MOM will shoot		Muscles, Moms and guns - http://www.pastposters.com/cw3/assets/product_expanded/(JamieR)__StopOrMyMomWillShoot(1).jpg	!	6.7	1.6		2																						
Mortal Kombat	1995	you will be dissapointed. FATALITY	!	7.0	1.5		1			1.0			3	1															
the Room		moving drama about a man who loses everything	!	8.4	0.8				1																				
War Games 2		God no, please. Why?!?!	!	7.4	1.3								1			2													
Cube³: Megacube              		dont forget cube 0: the actual other one	!	0.0	0.0																								
The Grey		Liam Neeson fights wolves. "They're not wolves, they're killing machines". https://www.youtube.com/watch?v=lMqBhMPWNiE	!	1.3	5.6	6.5	5	6.5										8											
Don't Be a Menace to South Central While Drinking Your Juice in the Hood	1996		!	2.2	6.1														7.5										
Seven		dont do bad stuff		4.8	7.4	8.5	8			9.0						8		9											
Willow		little dude goes on adventure... before lord of the rings was a movie	!	0.8	5.4		7									6													
The Iron Giant	1999	A giant metal machine. Brad Bird is a genius.	!	2.7	6.3		7	7		8.5																			
The Expendables			!	3.3	6.6	8	8																						
How to train your dragon		If you're a cat person, Toothless is like a big cat with wings, otherwise a smelly dog	!	5.5	7.7	8.5		9											10										
How to train your dragon II			!	4.5	7.3			8.5											9										
Howls Moving Castle		hayao miyazaki	!	3.4	6.7		7												9										
Sunshine on Leith		Scottish musical, proclaimers... kitsch	!	3.0	6.5											8													
The Animatrix		Series of different anime style short films about the Matrix. MUCH BETTER than the Matrix sequels	!	4.1	7.0			9		8.0						8													
So I married an axe murderer		Hied! Move! Now!	!	3.7	6.8		6									10													
Shallow Grave		Black comedy, Scottish style	!	1.4	5.7											7													
Mission Impossible		Don't chew on the red + green gum	!	1.5	5.8	6.5	7	7																					
Mission Impossible 2			!	0.8	5.4	7	6																						
Mission Impossible 3		Phillip Semore Hoffman is a good baddy	!	1.4	5.7	7	5	8																					
Mission Impossible 4: Ghost Protocol			!	3.4	6.7	7		9																					
Armagedon		Bruce Willis v Asteroid	!	0.6	4.7		4	7																					
The Day After Tomorrow		Global warming creates new ice age	!	1.2	4.4		4	7								4													
The Core		The core of the earth stops spinning and needs a jump start	!	1.4	5.7			7																					
Darkness Falls		Stay out of the dark	!	1.4	5.7			7																					
Little Miss Sunshine		unconventional family goes on a road trip to enter their daughter into a beauty pagent	!	3.3	6.6	8	8																						
Death at a funeral (british version)		The funeral and wake of a familys father	!	3.0	6.5		8																						
Sideways		Sad bastard takes his mate on a bucks party through the wine country in the US	!	3.0	6.5		8																						
Pan's Labyrinth		Young girl in a civil war escapes the reality of what is going on into her imagination	!	3.0	6.5		7	6	9							8													
Up		Animated movie about an old man is pushed off his land by change	!	2.1	6.0	8	7	7								6													
The 40 Year old Virgin		Enough gold to make up for the sitcom premise	!	0.8	5.4	5	7	7								6													
Austin Powers: International Man of Mystery			!	1.7	5.9		6									8													
Big Trouble In Little China		a trucker gets embroiled in some crazy magic shit in china town	!	3.7	6.8		6		10																				
A Life less ordinary			!	1.4	5.7		7																						
Battle Royal		before the hunger games there was	!	3.0	6.5		8																						
The Godfather part II 			!	4.7	7.3		9																						
The Godfather part III		III means 3 for you people	!	0.2	4.9		6																						
Don Jon		Inception dude likes girls, boys, cars, church and porn	!	1.4	5.7		7																						
Priscilla Queen of the desert		Gay peirce plays a cross dresser and has adventures and such	!	1.4	5.7		7																						
Rambo		he could eat things that make a billy goat puke	!	1.6	5.8	7	7																						
The Karate Kid		Whacks off	!	0.2	4.9		6																						
Stranger than fiction		so someone is writing a book, and someone is living a boring life	!	4.9	7.5		9		9																				
Beginners		Good movie about 2 cool people falling in love thats not gay its cool	!	4.7	7.3				9																				
American Beauty		kevin spacey has a mid life awakening.  Plastic bags are awesome	!	4.7	7.3		9																						
Lord of the rings		Hey there's some little people	!	3.7	6.8	8.5	8																						
Lord of the rings part two		Hey lets go for a walk	!	0.1	5.0	6	6																						
Lord of the rings part 3		Hey lets throw the thing in the thing				8.5	8																						
The Perfect storm		of shit movies	!	5.1	2.4		3																						
Crouching tiger hidden dragon		kung fu film with awesome cameraness and such	!	1.4	5.7		7																						
500 Days of Summer		Chronicles Inception boy's crush on hipster girl Zooey Dashound for 500 days	!	0.1	5.0		7		5																				
Enemy at the gates		Snipers and such	!	1.6	5.8		7									7													
Secretary		it's for spankin	!	1.4	5.7		7																						
A Few Goodmen		You can't handle the truth!!	!	3.0	6.5		8																						
A Scanner Darkly		Weird. You'll probably either like it or hate it	!	1.4	5.7		7																						
Cheaper by the dozen			!	8.4	0.8		1																						
8 mile 		Hey it's got the dead chick and that white rapper dude	!	1.6	4.2		6									4													
Anti-Trust		Not Bill Gates is stealing all the code	!	2.5	6.2		7									8													
Aeon Flux		In the Future there's stuff	!	0.2	4.9		6																						
The Excorcism		your mother is in here with us	!	0.2	4.9		6																						
The last Samurai		it has a lot of very good combersations	!	1.4	5.7		7																						
Pacific Rim			!	3.3	6.6	8	8																						
Zack and Miri make a porno			!	1.4	5.7		7																						
Beowulf			!	3.5	3.3	4																							
The hitchikers guide to the galaxy		42	!	3.7	6.8	8.5	8																						
Cowboys And Aliens		The title says it all	!	1.0	5.5	6.5	7	6																					
Devil		Stuck in an elevator with a murderer who might be the devil	!	0.6	5.3		6.5																						
Dr. Horrible's Singalong Blog			!	3.7	6.8	8	8.5																						
Fun with Dick and Jane		Jim Carrey and his wife struggle to make ends meet after his company tanks	!	3.8	6.9		8.5																						
Edward Scissorhands			!	0.0	0.0																								
Oblivion		In a post war with aliens, Tom Cruise maintains Earth's generators, all not what it seems	!	3.0	6.5		8																						
In Time	2011	In the future, everyone is allotted minutes to live and trade minutes like currency	!	0.0	0.0																								
The Counterfeiters		World war II prisoners of war were forced to make fake money for the nazis in order to flood the uk economy	!	4.7	7.3		9																						
Moon		About a guy who works on a lunar mining base. Clint Mansell does great soundtracks	!	3.8	6.9		8.5																						
My Neighbor Totoro	1988		!	0.0	0.0																								
Now You See Me	2013	Magicians rob banks	!	3.0	6.5		8																						
Paycheck		Ben Afleck works as a contract reverse engineer who gets his memory erased after each job. After his biggest job, people try to kill him and he must solve the mystery..	!	3.8	6.9		8.5																						
Red		Ex CIA agents flagged as Retired & Extremely Dangerous have been targetted. Malcovich is the best	!	2.5	6.2		7									8													
Red II			!	0.1	5.0		5									7													
Safety Not Garuanteed	2012	Writers do a novelty piece on a crazy guy who's making a time machine	!	3.0	6.5		8																						
Slumdog Millionaire			!	3.3	6.6		8									8													
Smoking Aces			!	0.2	4.9		6																						
Source Code			!	1.6	5.8		7									7													
Ted			!	1.4	5.7		7																						
The Island			!	1.6	5.8		7									7													
The Number 23			!	0.0	0.0																								
The Secret Life Of Chaos		BBC Doco on chaos and the scientists that influenced our understanding of it	!	3.8	6.9			8.5																					
The Town			!	3.0	6.5		8																						
Trance	2013		!	1.4	5.7		7																						
War of the Worlds			!	3.0	6.5		8																						
World War Z	2013		!	1.4	5.7		7																						
Zero Dark Thirty		The taking down of Osama Bin Laden	!	0.0	0.0																								
The Wolf of Wall Street			!	4.9	7.5		9	9																																											
